Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,53.782,54.349,1,1,0.562,,6,4,64,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,54.349,54.916,1,1,0.562,,6,5,65,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,54.916,55.557,2,0,0.634,,6,6,66,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,55.558,55.782,3,0,0.221,,6,7,67,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,55.782,56.474,4,1,0.687,,6,8,68,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,56.475,57.074,1,1,0.598,,6,9,69,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,57.075,57.615,2,1,0.536,,7,0,70,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,57.615,58.124,3,1,0.505,,7,1,71,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,58.124,58.673,2,1,0.546,,7,2,72,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,58.674,59.273,3,1,0.595,,7,3,73,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,59.273,59.84,1,1,0.563,,7,4,74,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,59.84,60.342,1,1,0.5,,7,5,75,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,60.343,60.876,3,1,0.533,,7,6,76,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,60.877,61.49,2,1,0.61,,7,7,77,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,61.49,62.125,4,1,0.634,,7,8,78,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,62.125,62.706,1,1,0.579,,7,9,79,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,62.707,63.373,2,1,0.664,,8,0,80,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,63.373,63.941,3,1,0.567,,8,1,81,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,63.942,64.507,2,1,0.562,,8,2,82,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,64.51,65.023,3,1,0.511,,8,3,83,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,65.025,65.59,1,1,0.563,,8,4,84,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,65.59,66.14,1,1,0.546,,8,5,85,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,66.141,66.839,3,1,0.696,,8,6,86,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,66.839,67.376,2,1,0.536,,8,7,87,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,67.376,68.041,4,1,0.657,,8,8,88,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,68.042,68.574,1,1,0.529,,8,9,89,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,68.574,69.09,2,1,0.511,,9,0,90,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,69.09,69.641,3,1,0.546,,9,1,91,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,69.642,70.156,2,1,0.511,,9,2,92,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,70.157,70.666,3,1,0.502,,9,3,93,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,70.666,71.151,1,1,0.483,,9,4,94,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,71.151,71.742,1,1,0.59,,9,5,95,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,71.742,72.307,3,1,0.564,,9,6,96,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,72.308,72.757,2,1,0.447,,9,7,97,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,72.757,73.223,4,1,0.46,,9,8,98,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,73.223,73.758,1,1,0.535,,9,9,99,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,73.759,74.225,2,1,0.46,,10,0,100,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,74.225,74.573,3,1,0.346,,10,1,101,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,74.574,74.948,2,1,0.372,,10,2,102,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,74.948,75.323,3,1,0.373,,10,3,103,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,75.324,75.809,1,1,0.485,,10,4,104,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,75.81,76.453,1,1,0.643,,10,5,105,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,76.454,76.948,3,1,0.489,,10,6,106,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,76.949,77.41,2,1,0.461,,10,7,107,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,77.411,77.898,4,1,0.486,,10,8,108,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,77.898,78.407,1,1,0.505,,10,9,109,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,78.409,78.974,2,1,0.562,,11,0,110,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,78.975,79.29,3,1,0.314,,11,1,111,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,79.29,79.54,2,1,0.247,,11,2,112,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,79.54,79.923,3,1,0.381,,11,3,113,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,79.924,80.382,1,1,0.453,,11,4,114,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,80.382,81.091,2,0,0.702,,11,5,115,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,81.091,81.206,1,0,0.113,,11,6,116,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,81.208,81.698,2,1,0.488,,11,7,117,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,81.698,82.098,4,1,0.396,,11,8,118,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,82.099,82.606,1,1,0.507,,11,9,119,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,82.607,83.099,2,1,0.487,,12,0,120,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,83.1,83.423,3,1,0.321,,12,1,121,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,83.424,83.697,2,1,0.272,,12,2,122,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,83.697,84.006,3,1,0.305,,12,3,123,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,84.007,84.331,1,1,0.322,,12,4,124,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,84.332,85.032,1,1,0.694,,12,5,125,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,85.032,85.599,3,1,0.562,,12,6,126,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,85.6,86.107,2,1,0.504,,12,7,127,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,86.107,86.424,4,1,0.315,,12,8,128,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,86.424,86.857,2,0,0.429,,12,9,129,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,86.858,87.098,1,0,0.239,,13,0,130,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,87.099,87.649,3,1,0.543,,13,1,131,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,87.649,88.106,2,1,0.454,,13,2,132,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,88.106,88.408,3,1,0.296,,13,3,133,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,88.409,88.841,1,1,0.43,,13,4,134,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,88.841,89.389,1,1,0.547,,13,5,135,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,89.39,89.99,4,0,0.595,,13,6,136,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,89.991,90.223,3,0,0.229,,13,7,137,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,90.223,90.934,2,0,0.711,,13,8,138,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,90.934,91.29,4,0,0.353,,13,9,139,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,91.29,91.714,1,0,0.419,,14,0,140,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,91.715,92.007,2,0,0.288,,14,1,141,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,92.007,92.365,3,0,0.355,,14,2,142,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,92.366,92.623,2,0,0.253,,14,3,143,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,92.623,92.873,3,0,0.249,,14,4,144,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,92.874,93.369,1,1,0.494,,14,5,145,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,93.369,94.082,3,1,0.709,,14,6,146,6,1,7,R,,3,,,,,,,
