Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,68.433,68.879,1,1,0.437,,11,9,119,9,1,10,I,,1,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,68.88,69.462,2,1,0.576,,12,0,120,0,1,1,M,,2,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,69.463,69.844,3,1,0.368,,12,1,121,1,1,2,R,,3,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,69.844,70.263,2,1,0.411,,12,2,122,2,1,3,M,,2,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,70.264,70.686,3,1,0.414,,12,3,123,3,1,4,R,,3,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,70.686,71.09,1,1,0.389,,12,4,124,4,1,5,I,,1,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,71.09,71.422,1,1,0.322,,12,5,125,5,1,6,I,,1,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,71.423,72.083,3,1,0.647,,12,6,126,6,1,7,R,,3,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,72.084,72.488,2,1,0.392,,12,7,127,7,1,8,M,,2,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,72.488,72.873,4,1,0.375,,12,8,128,8,1,9,L,,4,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,72.873,73.393,1,1,0.508,,12,9,129,9,1,10,I,,1,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,73.393,73.786,1,0,0.381,,13,0,130,0,1,1,M,,2,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,73.786,74.149,2,0,0.352,,13,1,131,1,1,2,R,,3,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,74.149,74.817,2,1,0.655,,13,2,132,2,1,3,M,,2,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,74.818,75.243,3,1,0.421,,13,3,133,3,1,4,R,,3,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,75.243,75.718,1,1,0.471,,13,4,134,4,1,5,I,,1,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,75.719,76.191,1,1,0.471,,13,5,135,5,1,6,I,,1,,,,,,,
