Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,117.589,118.105,1,1,0.505,,16,5,165,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,118.106,118.605,3,1,0.487,,16,6,166,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,118.606,119.139,2,1,0.522,,16,7,167,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,119.139,119.689,4,1,0.537,,16,8,168,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,119.691,120.422,1,1,0.719,,16,9,169,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,120.422,120.939,2,1,0.506,,17,0,170,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,120.94,121.721,3,1,0.77,,17,1,171,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,121.723,122.321,2,1,0.588,,17,2,172,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,122.322,122.955,3,1,0.621,,17,3,173,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,122.956,123.655,1,1,0.692,,17,4,174,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,123.656,124.272,1,1,0.606,,17,5,175,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,124.274,124.805,3,1,0.52,,17,6,176,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,124.806,125.305,2,1,0.486,,17,7,177,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,125.306,126.072,4,1,0.754,,17,8,178,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,126.073,126.538,1,1,0.456,,17,9,179,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,126.539,127.056,2,1,0.506,,18,0,180,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,127.056,127.504,3,1,0.439,,18,1,181,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,127.505,127.988,2,1,0.473,,18,2,182,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,127.989,128.456,3,1,0.457,,18,3,183,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,128.456,129.071,1,1,0.607,,18,4,184,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,129.072,129.771,1,1,0.688,,18,5,185,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,129.772,130.438,3,1,0.654,,18,6,186,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,130.439,130.939,2,1,0.497,,18,7,187,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,130.939,131.555,4,1,0.604,,18,8,188,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,131.555,132.105,1,1,0.537,,18,9,189,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,132.105,132.571,2,1,0.457,,19,0,190,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,132.572,133.072,3,1,0.491,,19,1,191,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,133.073,133.555,2,1,0.475,,19,2,192,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,133.556,134.071,3,1,0.505,,19,3,193,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,134.071,134.521,1,1,0.441,,19,4,194,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,134.522,135.088,1,1,0.556,,19,5,195,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,135.089,135.588,3,1,0.488,,19,6,196,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,135.589,136.088,2,1,0.489,,19,7,197,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,136.089,136.738,4,1,0.638,,19,8,198,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,136.738,137.188,1,1,0.437,,19,9,199,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,137.202,137.889,4,1,0.677,,,,,,,9,L,,4,0,0,0,8,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,137.89,138.522,2,1,0.628,,,,,,,1,M,,2,0,1,1,0,1,,
